ProductKey;ProductName;Subcategory;Category
1;Adjustable Race;N/A;N/A
2;Bearing Ball;N/A;N/A
3;BB Ball Bearing;N/A;N/A
4;Headset Ball Bearings;N/A;N/A
5;Blade;N/A;N/A
6;LL Crankarm;N/A;N/A
7;ML Crankarm;N/A;N/A
8;HL Crankarm;N/A;N/A
9;Chainring Bolts;N/A;N/A
10;Chainring Nut;N/A;N/A
11;Chainring;N/A;N/A
12;Crown Race;N/A;N/A
13;Chain Stays;N/A;N/A
14;Decal 1;N/A;N/A
15;Decal 2;N/A;N/A
16;Down Tube;N/A;N/A
17;Mountain End Caps;N/A;N/A
18;Road End Caps;N/A;N/A
19;Touring End Caps;N/A;N/A
20;Fork End;N/A;N/A
21;Freewheel;N/A;N/A
22;Flat Washer 1;N/A;N/A
23;Flat Washer 6;N/A;N/A
24;Flat Washer 2;N/A;N/A
25;Flat Washer 9;N/A;N/A
26;Flat Washer 4;N/A;N/A
27;Flat Washer 3;N/A;N/A
28;Flat Washer 8;N/A;N/A
29;Flat Washer 5;N/A;N/A
30;Flat Washer 7;N/A;N/A
31;Fork Crown;N/A;N/A
32;Front Derailleur Cage;N/A;N/A
33;Front Derailleur Linkage;N/A;N/A
34;Guide Pulley;N/A;N/A
35;LL Grip Tape;N/A;N/A
36;ML Grip Tape;N/A;N/A
37;HL Grip Tape;N/A;N/A
38;Thin-Jam Hex Nut 9;N/A;N/A
39;Thin-Jam Hex Nut 10;N/A;N/A
40;Thin-Jam Hex Nut 1;N/A;N/A
41;Thin-Jam Hex Nut 2;N/A;N/A
42;Thin-Jam Hex Nut 15;N/A;N/A
43;Thin-Jam Hex Nut 16;N/A;N/A
44;Thin-Jam Hex Nut 5;N/A;N/A
45;Thin-Jam Hex Nut 6;N/A;N/A
46;Thin-Jam Hex Nut 3;N/A;N/A
47;Thin-Jam Hex Nut 4;N/A;N/A
48;Thin-Jam Hex Nut 13;N/A;N/A
49;Thin-Jam Hex Nut 14;N/A;N/A
50;Thin-Jam Hex Nut 7;N/A;N/A
51;Thin-Jam Hex Nut 8;N/A;N/A
52;Thin-Jam Hex Nut 12;N/A;N/A
53;Thin-Jam Hex Nut 11;N/A;N/A
54;Hex Nut 5;N/A;N/A
55;Hex Nut 6;N/A;N/A
56;Hex Nut 16;N/A;N/A
57;Hex Nut 17;N/A;N/A
58;Hex Nut 7;N/A;N/A
59;Hex Nut 8;N/A;N/A
60;Hex Nut 9;N/A;N/A
61;Hex Nut 22;N/A;N/A
62;Hex Nut 23;N/A;N/A
63;Hex Nut 12;N/A;N/A
64;Hex Nut 13;N/A;N/A
65;Hex Nut 1;N/A;N/A
66;Hex Nut 10;N/A;N/A
67;Hex Nut 11;N/A;N/A
68;Hex Nut 2;N/A;N/A
69;Hex Nut 20;N/A;N/A
70;Hex Nut 21;N/A;N/A
71;Hex Nut 3;N/A;N/A
72;Hex Nut 14;N/A;N/A
73;Hex Nut 15;N/A;N/A
74;Hex Nut 4;N/A;N/A
75;Hex Nut 18;N/A;N/A
76;Hex Nut 19;N/A;N/A
77;Handlebar Tube;N/A;N/A
78;Head Tube;N/A;N/A
79;LL Hub;N/A;N/A
80;HL Hub;N/A;N/A
81;Keyed Washer;N/A;N/A
82;External Lock Washer 3;N/A;N/A
83;External Lock Washer 4;N/A;N/A
84;External Lock Washer 9;N/A;N/A
85;External Lock Washer 5;N/A;N/A
86;External Lock Washer 7;N/A;N/A
87;External Lock Washer 6;N/A;N/A
88;External Lock Washer 1;N/A;N/A
89;External Lock Washer 8;N/A;N/A
90;External Lock Washer 2;N/A;N/A
91;Internal Lock Washer 3;N/A;N/A
92;Internal Lock Washer 4;N/A;N/A
93;Internal Lock Washer 9;N/A;N/A
94;Internal Lock Washer 5;N/A;N/A
95;Internal Lock Washer 7;N/A;N/A
96;Internal Lock Washer 6;N/A;N/A
97;Internal Lock Washer 10;N/A;N/A
98;Internal Lock Washer 1;N/A;N/A
99;Internal Lock Washer 8;N/A;N/A
100;Internal Lock Washer 2;N/A;N/A
101;Thin-Jam Lock Nut 9;N/A;N/A
102;Thin-Jam Lock Nut 10;N/A;N/A
103;Thin-Jam Lock Nut 1;N/A;N/A
104;Thin-Jam Lock Nut 2;N/A;N/A
105;Thin-Jam Lock Nut 15;N/A;N/A
106;Thin-Jam Lock Nut 16;N/A;N/A
107;Thin-Jam Lock Nut 5;N/A;N/A
108;Thin-Jam Lock Nut 6;N/A;N/A
109;Thin-Jam Lock Nut 3;N/A;N/A
110;Thin-Jam Lock Nut 4;N/A;N/A
111;Thin-Jam Lock Nut 13;N/A;N/A
112;Thin-Jam Lock Nut 14;N/A;N/A
113;Thin-Jam Lock Nut 7;N/A;N/A
114;Thin-Jam Lock Nut 8;N/A;N/A
115;Thin-Jam Lock Nut 12;N/A;N/A
116;Thin-Jam Lock Nut 11;N/A;N/A
117;Lock Nut 5;N/A;N/A
118;Lock Nut 6;N/A;N/A
119;Lock Nut 16;N/A;N/A
120;Lock Nut 17;N/A;N/A
121;Lock Nut 7;N/A;N/A
122;Lock Nut 8;N/A;N/A
123;Lock Nut 9;N/A;N/A
124;Lock Nut 22;N/A;N/A
125;Lock Nut 23;N/A;N/A
126;Lock Nut 12;N/A;N/A
127;Lock Nut 13;N/A;N/A
128;Lock Nut 1;N/A;N/A
129;Lock Nut 10;N/A;N/A
130;Lock Nut 11;N/A;N/A
131;Lock Nut 2;N/A;N/A
132;Lock Nut 20;N/A;N/A
133;Lock Nut 21;N/A;N/A
134;Lock Nut 3;N/A;N/A
135;Lock Nut 14;N/A;N/A
136;Lock Nut 15;N/A;N/A
137;Lock Nut 4;N/A;N/A
138;Lock Nut 19;N/A;N/A
139;Lock Nut 18;N/A;N/A
140;Lock Ring;N/A;N/A
141;Lower Head Race;N/A;N/A
142;Lock Washer 4;N/A;N/A
143;Lock Washer 5;N/A;N/A
144;Lock Washer 10;N/A;N/A
145;Lock Washer 6;N/A;N/A
146;Lock Washer 13;N/A;N/A
147;Lock Washer 8;N/A;N/A
148;Lock Washer 1;N/A;N/A
149;Lock Washer 7;N/A;N/A
150;Lock Washer 12;N/A;N/A
151;Lock Washer 2;N/A;N/A
152;Lock Washer 9;N/A;N/A
153;Lock Washer 3;N/A;N/A
154;Lock Washer 11;N/A;N/A
155;Metal Angle;N/A;N/A
156;Metal Bar 1;N/A;N/A
157;Metal Bar 2;N/A;N/A
158;Metal Plate 2;N/A;N/A
159;Metal Plate 1;N/A;N/A
160;Metal Plate 3;N/A;N/A
161;Metal Sheet 2;N/A;N/A
162;Metal Sheet 3;N/A;N/A
163;Metal Sheet 7;N/A;N/A
164;Metal Sheet 4;N/A;N/A
165;Metal Sheet 5;N/A;N/A
166;Metal Sheet 6;N/A;N/A
167;Metal Sheet 1;N/A;N/A
168;Metal Tread Plate;N/A;N/A
169;LL Nipple;N/A;N/A
170;HL Nipple;N/A;N/A
171;Paint - Black;N/A;N/A
172;Paint - Red;N/A;N/A
173;Paint - Silver;N/A;N/A
174;Paint - Blue;N/A;N/A
175;Paint - Yellow;N/A;N/A
176;Pinch Bolt;N/A;N/A
177;Cup-Shaped Race;N/A;N/A
178;Cone-Shaped Race;N/A;N/A
179;Reflector;N/A;N/A
180;LL Mountain Rim;N/A;N/A
181;ML Mountain Rim;N/A;N/A
182;HL Mountain Rim;N/A;N/A
183;LL Road Rim;N/A;N/A
184;ML Road Rim;N/A;N/A
185;HL Road Rim;N/A;N/A
186;Touring Rim;N/A;N/A
187;LL Mountain Seat Assembly;N/A;N/A
188;ML Mountain Seat Assembly;N/A;N/A
189;HL Mountain Seat Assembly;N/A;N/A
190;LL Road Seat Assembly;N/A;N/A
191;ML Road Seat Assembly;N/A;N/A
192;HL Road Seat Assembly;N/A;N/A
193;LL Touring Seat Assembly;N/A;N/A
194;ML Touring Seat Assembly;N/A;N/A
195;HL Touring Seat Assembly;N/A;N/A
196;LL Spindle/Axle;N/A;N/A
197;HL Spindle/Axle;N/A;N/A
198;LL Shell;N/A;N/A
199;HL Shell;N/A;N/A
200;Spokes;N/A;N/A
201;Seat Lug;N/A;N/A
202;Stem;N/A;N/A
203;Seat Post;N/A;N/A
204;Steerer;N/A;N/A
205;Seat Stays;N/A;N/A
206;Seat Tube;N/A;N/A
207;Top Tube;N/A;N/A
208;Tension Pulley;N/A;N/A
