ProductKey;OrderDateKey;CustomerKey;SalesTerritoryKey;OrderNumber;Quantity;Discount;TotalCost;SalesAmount;Freight
485;20131231;22978;9;SO74219;1;0;8,2205;21,98;0,5495
222;20131231;22978;9;SO74219;1;0;13,0863;34,99;0,8748
467;20131231;22978;9;SO74219;1;0;9,1593;24,49;0,6123
537;20131231;21954;9;SO74220;1;0;13,09;35,00;0,875
537;20131231;21185;9;SO74221;1;0;13,09;35,00;0,875
528;20131231;21185;9;SO74221;1;0;1,8663;4,99;0,1248
538;20131231;26565;9;SO74222;1;0;8,0373;21,49;0,5373
480;20131231;26565;9;SO74222;1;0;0,8565;2,29;0,0573
478;20131231;28946;9;SO74223;1;0;3,7363;9,99;0,2498
225;20131231;28946;9;SO74223;1;0;6,9223;8,99;0,2248
477;20131231;28946;9;SO74223;1;0;1,8663;4,99;0,1248
484;20131231;11749;9;SO74224;1;0;2,9733;7,95;0,1988
225;20131231;18283;9;SO74225;1;0;6,9223;8,99;0,2248
530;20131231;11300;6;SO74226;1;0;1,8663;4,99;0,1248
487;20131231;11300;6;SO74226;1;0;20,5663;54,99;1,3748
228;20131231;11300;6;SO74226;1;0;38,4923;49,99;1,2498
539;20131231;29036;1;SO74227;1;0;9,3463;24,99;0,6248
228;20131231;29036;1;SO74227;1;0;38,4923;49,99;1,2498
478;20131231;13071;6;SO74228;1;0;3,7363;9,99;0,2498
477;20131231;13071;6;SO74228;1;0;1,8663;4,99;0,1248
217;20131231;13071;6;SO74228;1;0;13,0863;34,99;0,8748
476;20131231;18891;4;SO74229;1;0;26,1763;69,99;1,7498
237;20131231;18891;4;SO74229;1;0;38,4923;49,99;1,2498
477;20131231;16757;1;SO74230;1;0;1,8663;4,99;0,1248
477;20131231;26461;6;SO74231;1;0;1,8663;4,99;0,1248
491;20131231;26461;6;SO74231;1;0;41,5723;53,99;1,3498
528;20131231;14402;1;SO74232;1;0;1,8663;4,99;0,1248
217;20131231;14402;1;SO74232;1;0;13,0863;34,99;0,8748
485;20131231;20508;6;SO74233;1;0;8,2205;21,98;0,5495
485;20131231;20330;6;SO74234;1;0;8,2205;21,98;0,5495
478;20131231;20330;6;SO74234;1;0;3,7363;9,99;0,2498
477;20131231;20330;6;SO74234;1;0;1,8663;4,99;0,1248
222;20131231;20330;6;SO74234;1;0;13,0863;34,99;0,8748
528;20131231;15629;8;SO74235;1;0;1,8663;4,99;0,1248
217;20131231;15629;8;SO74235;1;0;13,0863;34,99;0,8748
528;20131231;16321;10;SO74236;1;0;1,8663;4,99;0,1248
480;20131231;16321;10;SO74236;1;0;0,8565;2,29;0,0573
528;20131231;15444;10;SO74237;1;0;1,8663;4,99;0,1248
537;20131231;15444;10;SO74237;1;0;13,09;35,00;0,875
222;20131231;15444;10;SO74237;1;0;13,0863;34,99;0,8748
225;20131231;15444;10;SO74237;1;0;6,9223;8,99;0,2248
537;20131231;14988;10;SO74238;1;0;13,09;35,00;0,875
475;20131231;28457;7;SO74239;1;0;26,1763;69,99;1,7498
539;20131231;13804;10;SO74240;1;0;9,3463;24,99;0,6248
480;20131231;13804;10;SO74240;1;0;0,8565;2,29;0,0573
536;20131231;20168;8;SO74241;1;0;11,2163;29,99;0,7498
480;20131231;20168;8;SO74241;1;0;0,8565;2,29;0,0573
528;20131231;20904;10;SO74242;1;0;1,8663;4,99;0,1248
536;20131231;20904;10;SO74242;1;0;11,2163;29,99;0,7498
222;20131231;20904;10;SO74242;1;0;13,0863;34,99;0,8748
529;20131231;24097;8;SO74243;1;0;1,4923;3,99;0,0998
480;20131231;24097;8;SO74243;1;0;0,8565;2,29;0,0573
541;20131231;12740;10;SO74244;1;0;10,8423;28,99;0,7248
530;20131231;12740;10;SO74244;1;0;1,8663;4,99;0,1248
217;20131231;12740;10;SO74244;1;0;13,0863;34,99;0,8748
537;20131231;11185;6;SO74245;1;0;13,09;35,00;0,875
485;20131231;11185;6;SO74245;1;0;8,2205;21,98;0,5495
214;20131231;11185;6;SO74245;1;0;13,0863;34,99;0,8748
471;20131231;11185;6;SO74245;1;0;23,749;63,50;1,5875
537;20131231;11138;4;SO74246;1;0;13,09;35,00;0,875
528;20131231;11138;4;SO74246;1;0;1,8663;4,99;0,1248
537;20131231;12145;1;SO74247;1;0;13,09;35,00;0,875
528;20131231;12145;1;SO74247;1;0;1,8663;4,99;0,1248
222;20131231;12145;1;SO74247;1;0;13,0863;34,99;0,8748
228;20131231;12145;1;SO74247;1;0;38,4923;49,99;1,2498
537;20131231;11801;1;SO74248;1;0;13,09;35,00;0,875
480;20131231;11801;1;SO74248;1;0;0,8565;2,29;0,0573
485;20131231;19223;6;SO74249;1;0;8,2205;21,98;0,5495
480;20131231;19223;6;SO74249;1;0;0,8565;2,29;0,0573
485;20131231;18812;6;SO74250;1;0;8,2205;21,98;0,5495
217;20131231;18812;6;SO74250;1;0;13,0863;34,99;0,8748
237;20131231;18812;6;SO74250;1;0;38,4923;49,99;1,2498
225;20131231;18812;6;SO74250;1;0;6,9223;8,99;0,2248
537;20131231;11856;1;SO74251;1;0;13,09;35,00;0,875
528;20131231;11856;1;SO74251;1;0;1,8663;4,99;0,1248
217;20131231;11856;1;SO74251;1;0;13,0863;34,99;0,8748
225;20131231;12646;8;SO74252;1;0;6,9223;8,99;0,2248
484;20131230;12148;1;SO74185;1;0;2,9733;7,95;0,1988
528;20131230;13023;9;SO74186;1;0;1,8663;4,99;0,1248
535;20131230;13023;9;SO74186;1;0;9,3463;24,99;0,6248
538;20131230;19597;9;SO74187;1;0;8,0373;21,49;0,5373
529;20131230;19597;9;SO74187;1;0;1,4923;3,99;0,0998
528;20131230;25117;9;SO74188;1;0;1,8663;4,99;0,1248
480;20131230;25117;9;SO74188;1;0;0,8565;2,29;0,0573
475;20131230;22149;9;SO74189;1;0;26,1763;69,99;1,7498
491;20131230;22149;9;SO74189;1;0;41,5723;53,99;1,3498
541;20131230;16342;9;SO74190;1;0;10,8423;28,99;0,7248
530;20131230;16342;9;SO74190;1;0;1,8663;4,99;0,1248
487;20131230;16342;9;SO74190;1;0;20,5663;54,99;1,3748
484;20131230;16342;9;SO74190;1;0;2,9733;7,95;0,1988
490;20131230;11715;4;SO74191;1;0;41,5723;53,99;1,3498
529;20131230;11276;6;SO74192;1;0;1,4923;3,99;0,0998
480;20131230;11276;6;SO74192;1;0;0,8565;2,29;0,0573
529;20131230;27372;5;SO74193;1;0;1,4923;3,99;0,0998
214;20131230;27372;5;SO74193;1;0;13,0863;34,99;0,8748
237;20131230;11530;6;SO74194;1;0;38,4923;49,99;1,2498
541;20131230;27629;1;SO74195;1;0;10,8423;28,99;0,7248
530;20131230;27629;1;SO74195;1;0;1,8663;4,99;0,1248
480;20131230;27629;1;SO74195;1;0;0,8565;2,29;0,0573
528;20131230;11276;6;SO74196;1;0;1,8663;4,99;0,1248
535;20131230;11276;6;SO74196;1;0;9,3463;24,99;0,6248
214;20131230;11276;6;SO74196;1;0;13,0863;34,99;0,8748
535;20131230;25838;4;SO74197;1;0;9,3463;24,99;0,6248
528;20131230;25838;4;SO74197;1;0;1,8663;4,99;0,1248
217;20131230;25838;4;SO74197;1;0;13,0863;34,99;0,8748
535;20131230;25934;4;SO74198;1;0;9,3463;24,99;0,6248
528;20131230;25934;4;SO74198;1;0;1,8663;4,99;0,1248
222;20131230;25934;4;SO74198;1;0;13,0863;34,99;0,8748
536;20131230;18320;6;SO74199;1;0;11,2163;29,99;0,7498
528;20131230;18320;6;SO74199;1;0;1,8663;4,99;0,1248
480;20131230;18320;6;SO74199;1;0;0,8565;2,29;0,0573
478;20131230;12055;6;SO74200;1;0;3,7363;9,99;0,2498
225;20131230;12055;6;SO74200;1;0;6,9223;8,99;0,2248
477;20131230;12055;6;SO74200;1;0;1,8663;4,99;0,1248
478;20131230;29282;6;SO74201;1;0;3,7363;9,99;0,2498
225;20131230;29282;6;SO74201;1;0;6,9223;8,99;0,2248
477;20131230;29282;6;SO74201;1;0;1,8663;4,99;0,1248
478;20131230;21278;1;SO74202;1;0;3,7363;9,99;0,2498
477;20131230;21278;1;SO74202;1;0;1,8663;4,99;0,1248
478;20131230;20490;4;SO74203;1;0;3,7363;9,99;0,2498
477;20131230;20490;4;SO74203;1;0;1,8663;4,99;0,1248
217;20131230;20490;4;SO74203;1;0;13,0863;34,99;0,8748
477;20131230;24255;6;SO74204;1;0;1,8663;4,99;0,1248
225;20131230;24255;6;SO74204;1;0;6,9223;8,99;0,2248
477;20131230;24967;6;SO74205;1;0;1,8663;4,99;0,1248
528;20131230;23485;6;SO74206;1;0;1,8663;4,99;0,1248
217;20131230;23485;6;SO74206;1;0;13,0863;34,99;0,8748
237;20131230;23485;6;SO74206;1;0;38,4923;49,99;1,2498
529;20131230;14533;10;SO74207;1;0;1,4923;3,99;0,0998
540;20131230;14533;10;SO74207;1;0;12,1924;32,60;0,815
487;20131230;14533;10;SO74207;1;0;20,5663;54,99;1,3748
536;20131230;24533;10;SO74208;1;0;11,2163;29,99;0,7498
480;20131230;24533;10;SO74208;1;0;0,8565;2,29;0,0573
529;20131230;22809;8;SO74209;1;0;1,4923;3,99;0,0998
214;20131230;22809;8;SO74209;1;0;13,0863;34,99;0,8748
541;20131230;23913;7;SO74210;1;0;10,8423;28,99;0,7248
530;20131230;23913;7;SO74210;1;0;1,8663;4,99;0,1248
479;20131230;23913;7;SO74210;1;0;3,3623;8,99;0,2248
477;20131230;23913;7;SO74210;1;0;1,8663;4,99;0,1248
530;20131230;17706;10;SO74211;1;0;1,8663;4,99;0,1248
222;20131230;17706;10;SO74211;1;0;13,0863;34,99;0,8748
537;20131230;11133;1;SO74212;1;0;13,09;35,00;0,875
485;20131230;11133;1;SO74212;1;0;8,2205;21,98;0,5495
478;20131230;11133;1;SO74212;1;0;3,7363;9,99;0,2498
477;20131230;11133;1;SO74212;1;0;1,8663;4,99;0,1248
530;20131230;13797;8;SO74213;1;0;1,8663;4,99;0,1248
480;20131230;13797;8;SO74213;1;0;0,8565;2,29;0,0573
537;20131230;12205;4;SO74214;1;0;13,09;35,00;0,875
480;20131230;12205;4;SO74214;1;0;0,8565;2,29;0,0573
485;20131230;13390;4;SO74215;1;0;8,2205;21,98;0,5495
477;20131230;13390;4;SO74215;1;0;1,8663;4,99;0,1248
478;20131230;13390;4;SO74215;1;0;3,7363;9,99;0,2498
225;20131230;13390;4;SO74215;1;0;6,9223;8,99;0,2248
490;20131230;13390;4;SO74215;1;0;41,5723;53,99;1,3498
485;20131230;13321;1;SO74216;1;0;8,2205;21,98;0,5495
478;20131230;13321;1;SO74216;1;0;3,7363;9,99;0,2498
477;20131230;13321;1;SO74216;1;0;1,8663;4,99;0,1248
222;20131230;13321;1;SO74216;1;0;13,0863;34,99;0,8748
225;20131230;12478;8;SO74217;1;0;6,9223;8,99;0,2248
222;20131230;11595;8;SO74218;1;0;13,0863;34,99;0,8748
222;20131229;11786;1;SO74148;1;0;13,0863;34,99;0,8748
539;20131229;17304;9;SO74149;1;0;9,3463;24,99;0,6248
480;20131229;17304;9;SO74149;1;0;0,8565;2,29;0,0573
